Generation,Rep,MeanRSC,MeanMates,cor,MeanCount,MeanMale,MeanFemale,RSC_Mates_Diff,RSC_Mates_Ratio
69.0,1.0,0.9994479944728584,0.99,0.8794038557771431,1.0628954196825076,1.2171609704123751,1.2336493281190073,0.009447994472858379,0.9905467873014828
70.0,1.0,1.0020544027410414,0.95,0.8852467454630383,1.1374334333774498,1.3189753933617463,1.32014329016581,0.05205440274104145,0.9480523187177755
71.0,1.0,1.0016565320328494,1.02,0.882647068573822,1.097719176909758,1.1575548014614754,1.1924461281379188,-0.018343467967150584,1.0183131316779044
72.0,1.0,1.0014504330460652,1.01,0.8685135755169472,1.1296664756310015,1.2320934319334484,1.2488753217367772,-0.008549566953934828,1.0085371843396482
73.0,1.0,0.9992756865355464,0.955,0.8995227066387484,1.0739900114387606,1.2126084020574783,1.2522905795909116,0.04427568653554648,0.9556922207433579
74.0,1.0,1.0007452298129709,0.935,0.9042219401452992,1.0690120473520637,1.1617751877694082,1.163934495287048,0.06574522981297082,0.9343037290067744
75.0,1.0,1.0003052278821554,1.115,0.9715678517587666,1.1039105817557742,1.1737771947397584,1.18573019911534,-0.11469477211784462,1.114659774757627
76.0,1.0,0.999816969877218,0.895,0.9796729237346165,1.0771976267982415,1.1869813737043378,1.189369502849881,0.104816969877218,0.8951638419479018
77.0,1.0,0.9986707002229316,1.08,0.7550166965730468,1.1592337228819325,1.226118488259642,1.2194827646456383,-0.08132929977706849,1.0814375547003767
78.0,1.0,1.0003646828646773,1.105,0.7623073783848207,1.0723097478760386,1.2432359627864562,1.1232983405285406,-0.1046353171353227,1.104597172338877
79.0,1.0,0.999997563166914,1.0,0.834468871154897,1.1107303392972043,1.2557504276416231,1.182657609339618,-2.4368330859836362e-06,1.0000024368390241
80.0,1.0,0.9992022446244438,0.96,0.9565808025975368,1.075226272787213,1.1304591222267732,1.1276992325453905,0.03920224462444388,0.9607664566054109
81.0,1.0,1.0000421201724214,0.925,0.973506055920372,1.0533474725685257,1.159513941163479,1.1156473969599623,0.0750421201724214,0.9249610404814919
82.0,1.0,1.0013573805940643,1.045,0.9953427563895204,1.0595853294117972,1.1407240932199014,1.1413635333157532,-0.04364261940593561,1.0435834600630238
83.0,1.0,1.0020481689579177,1.085,0.7791160897623827,1.1037549377372171,1.115861400623822,1.2176165592770982,-0.08295183104208226,1.0827822789480752
84.0,1.0,1.0066337305722173,0.945,0.9531621110845204,1.1104636907306895,1.217810945511706,1.24382858123048,0.06163373057221733,0.9387724365870574
85.0,1.0,1.006089375271188,1.085,0.9195418712012392,1.0683993631448276,1.1386758119087352,1.2258253507860162,-0.07891062472881205,1.0784330166567377
86.0,1.0,1.0066398285351186,1.005,0.9049641010129196,1.0663505127579678,1.1350174788343197,1.2254980981826469,0.0016398285351186814,0.9983709878263957
87.0,1.0,1.0065470117103248,0.995,0.9786356580926602,1.074087577812172,1.142460818136008,1.1645632601197362,0.011547011710324795,0.9885280949861407
88.0,1.0,1.0046021004302803,1.065,0.8299551468480575,1.0857295536076208,1.189732102084651,1.2309956063148078,-0.06039789956971964,1.0601212156970912
89.0,1.0,1.0054479302877588,1.2,0.8840832325054686,1.1034545319738531,1.3632306276606678,1.189094294923558,-0.19455206971224115,1.1934979066062232
90.0,1.0,1.003196883099462,1.045,0.918118812229053,1.1543380728701285,1.2447557111532177,1.3013611758455632,-0.04180311690053795,1.0416699030915881
91.0,1.0,1.0071284665629674,0.985,0.8152891414313085,1.1134398157186147,1.1628268934769117,1.2879890621167789,0.022128466562967408,0.9780281589711337
92.0,1.0,1.0010515231214776,0.98,0.8055429990223445,1.0751640019913458,1.148571515956431,1.3020117563967997,0.021051523121477622,0.9789705897895896
93.0,1.0,0.9998956756484942,1.02,0.7957440644893229,1.0722533912807153,1.1113502285455978,1.250190657158893,-0.020104324351505776,1.020106421940936
94.0,1.0,1.0033480927143623,1.045,0.9162328397665208,1.0767694750711214,1.1688484710551106,1.2230654998639618,-0.04165190728563761,1.0415129181867049
95.0,1.0,1.005789594508316,0.995,0.8562135967874084,1.105914486672142,1.1677309651500574,1.2246439269656584,0.010789594508315958,0.9892725132898292
